Nº CHAMADO;ID;CGC;NOME;TIPO;CIDADE;UF;REGIÃO;Qtd. Câmeras Internas;Qtd. Câmeras Externas;Total de Cameras;FACIAL;TIPO3;CABO;"EQUIPES
CONTRATADA";TÉCNICO;% EVOLUÇÃO;FASE 1;Lançado LPU
2406013889;1;6;MEXICO, DF;AG;BRASILIA;DF;CENTRO-OESTE;21;2;23;NÃO;Media;840;ENGEPP;Celio;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013941;7;15;ITUMBIARA, GO;AG;ITUMBIARA;GO;CENTRO-OESTE;31;1;32;SIM;Grande;1020;MD;Jonas;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013968;8;16;PAIAGUAS;AG;Cuiabá;MT;CENTRO-OESTE;30;1;31;NÃO;Grande;1020;MD;Cleberson;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013970;9;17;CENTRO CAMPO GRANDE;AG;Campo Grande;MS;CENTRO-OESTE;31;1;32;SIM;Grande;1020;MD;Washington;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013963;12;562;DOURADOS;AG;Dourados;MS;CENTRO-OESTE;29;1;30;SIM;Grande;1020;MD;Jaime;100%;CONCLUÍDO -  CABEAMENTO;Ok
2406013936;19;615;AQUIDAUANA;AG;Aquidauana;MS;CENTRO-OESTE;15;1;16;NÃO;Pequena;324;MD;Washigton;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013811;20;646;ABADIANIA, GO;AG;ABADIANIA;GO;CENTRO-OESTE;11;3;14;NÃO;Pequena;324;MD;Hudson;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013969;21;655;GAMA, DF;AG;BRASILIA;DF;CENTRO-OESTE;15;1;16;SIM;Pequena;324;ENGEPP;Celio;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013912;22;674;LAGO SUL, DF;AG;BRASILIA;DF;CENTRO-OESTE;12;2;14;NÃO;Pequena;324;ENGEPP;Celio;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013940;27;790;VARZEA GRANDE;AG;Várzea Grande;MT;CENTRO-OESTE;12;0;12;NÃO;Pequena;324;MD;Thiago;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013932;31;854;SINOP;AG;SINOP;MT;CENTRO-OESTE;21;1;22;SIM;Media;840;MD;Eduardo;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013783;32;857;UFMS;AG;Campo Grande;MS;CENTRO-OESTE;15;1;16;NÃO;Pequena;324;VITHA;Wuallter;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013942;34;870;CACERES;AG;Cáceres;MT;CENTRO-OESTE;14;0;14;NÃO;Pequena;324;MD;Cleberson;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013938;41;974;DOM BOSCO, DF;AG;BRASILIA;DF;CENTRO-OESTE;19;1;20;NÃO;Media;840;ENGEPP;Celio;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013929;42;987;PARANAIBA;AG;Paranaíba;MS;CENTRO-OESTE;14;1;15;NÃO;Pequena;324;MD;Wewerton;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013967;45;1057;515 SUL, DF;AG;BRASILIA;DF;CENTRO-OESTE;20;2;22;NÃO;Media;840;ENGEPP;Celio;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013916;47;1107;COXIM;AG;Coxim;MS;CENTRO-OESTE;13;1;14;NÃO;Pequena;324;MD;Luna;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013952;48;1108;AV. BANDEIRANTES;AG;Campo Grande;MS;CENTRO-OESTE;15;1;16;NÃO;Pequena;324;MD;Washington;100%;CONCLUÍDO -  CABEAMENTO;OK
2406013896;50;1142;BARRA DO BUGRES;AG;Barra do Bugres;MT;CENTRO-OESTE;14;2;16;NÃO;Pequena;324;MD;Cleberson;100%;CONCLUÍDO -  CABEAMENTO;OK
